source,source_name,target,target_name,distance_km
280,millennium falcon: smugglers run,49078,rise of the resistance,0.1910918755671528
73133,star tours – the adventures continue,45812,space mountain,0.1183773529607371
60568,thunder rail road,280,millennium falcon: smugglers run,0.26136831322438947
280,millennium falcon: smugglers run,60568,thunder rail road,0.26136831322438947
714,davy crockett's explorer canoes,43753,the many adventures of winnie the pooh,0.1401196765798681
714,davy crockett's explorer canoes,49078,rise of the resistance,0.16111282517894537
43753,the many adventures of winnie the pooh,714,davy crockett's explorer canoes,0.1401196765798681
43753,the many adventures of winnie the pooh,49078,rise of the resistance,0.2039118818080934
49078,rise of the resistance,714,davy crockett's explorer canoes,0.16111282517894537
49078,rise of the resistance,43753,the many adventures of winnie the pooh,0.2039118818080934
32605,pinocchio's daring journey,280,millennium falcon: smugglers run,0.276789152357036
280,millennium falcon: smugglers run,32605,pinocchio's daring journey,0.276789152357036
